date,max,avg,min
2024-02-01,10,7.8,5
2024-02-02,6,4.4,1
2024-02-03,9,7.6,7
2024-02-04,8,7.3,7
2024-02-05,7,5.3,4
2024-02-06,8,6.7,5
2024-02-07,11,9.4,8
2024-02-08,12,10.2,8
2024-02-09,9,8.2,7
2024-02-10,9,7.2,6
2024-02-11,8,6.5,5
2024-02-12,7,4.3,3
2024-02-13,7,4.4,2
2024-02-14,12,10.1,7
2024-02-15,9,8.2,7
2024-02-16,12,8.6,4
2024-02-17,5,4.1,3
2024-02-18,11,6.9,4
2024-02-19,10,8.3,6
2024-02-20,7,5.9,5
2024-02-21,10,6.5,5
2024-02-22,11,8.7,2
2024-02-23,5,3.1,2
2024-02-24,5,2.7,1
2024-02-25,7,5.2,4
2024-02-26,9,6.8,4
2024-02-27,5,3.4,2
2024-02-28,6,3.3,0
2024-02-29,9,7.6,5
