date,max,avg,min
2024-08-01,100,77.2,52
2024-08-02,100,72.5,45
2024-08-03,94,70.3,50
2024-08-04,88,65.4,44
2024-08-05,94,61.4,37
2024-08-06,88,61.7,37
2024-08-07,94,63.4,41
2024-08-08,77,54.5,36
2024-08-09,83,68.6,56
2024-08-10,88,62.9,42
2024-08-11,73,54.1,37
2024-08-12,83,53.9,29
2024-08-13,83,71.5,65
2024-08-14,83,66.8,45
2024-08-15,88,61.3,37
2024-08-16,78,65.7,51
2024-08-17,100,90.2,69
2024-08-18,94,75.9,53
2024-08-19,94,70.2,50
2024-08-20,94,80.3,57
2024-08-21,94,69.7,41
2024-08-22,94,64.3,34
2024-08-23,94,74.3,57
2024-08-24,100,73.8,43
2024-08-25,94,64.8,38
2024-08-26,94,63.6,38
2024-08-27,94,62.7,37
2024-08-28,100,62.6,27
2024-08-29,83,63.3,53
2024-08-30,94,81.0,52
2024-08-31,94,83.7,69
