date,max,avg,min
2024-04-01,14,10.1,8
2024-04-02,14,10.7,8
2024-04-03,17,13.0,10
2024-04-04,19,14.6,11
2024-04-05,18,15.6,13
2024-04-06,24,18.0,13
2024-04-07,19,16.2,13
2024-04-08,23,15.6,11
2024-04-09,14,10.3,8
2024-04-10,16,10.6,4
2024-04-11,19,14.2,10
2024-04-12,23,16.5,11
2024-04-13,26,18.8,11
2024-04-14,20,15.5,11
2024-04-15,14,10.9,7
2024-04-16,13,9.1,6
2024-04-17,12,8.0,5
2024-04-18,13,8.0,3
2024-04-19,12,9.7,8
2024-04-20,11,7.5,4
2024-04-21,11,7.4,3
2024-04-22,12,7.3,3
2024-04-23,12,7.4,2
2024-04-24,11,8.0,6
2024-04-25,13,8.7,1
2024-04-26,16,11.4,6
2024-04-27,16,12.0,9
2024-04-28,16,12.1,10
2024-04-29,18,13.0,7
2024-04-30,18,14.5,11
