Time	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Precipitation (mm)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
Max	Avg	Min
12	9.6	6
10	5.8	1
10	9.0	7
10	9.3	9
9	8.3	7
12	9.4	7
12	11.0	10
14	12.1	10
14	11.4	10
10	8.1	7
11	8.7	7
12	6.7	4
10	6.7	3
15	11.9	9
19	13.7	9
15	13.3	11
15	11.3	8
12	9.0	7
12	10.6	8
9	7.7	6
11	8.2	6
13	10.7	5
8	5.8	4
9	5.5	3
9	6.7	5
10	7.9	6
9	6.4	5
10	6.0	1
11	8.8	7
Max	Avg	Min
10	7.8	5
6	4.4	1
9	7.6	7
8	7.3	7
7	5.3	4
8	6.7	5
11	9.4	8
12	10.2	8
9	8.2	7
9	7.2	6
8	6.5	5
7	4.3	3
7	4.4	2
12	10.1	7
9	8.2	7
12	8.6	4
5	4.1	3
11	6.9	4
10	8.3	6
7	5.9	5
10	6.5	5
11	8.7	2
5	3.1	2
5	2.7	1
7	5.2	4
9	6.8	4
5	3.4	2
6	3.3	0
9	7.6	5
Max	Avg	Min
100	88.8	76
100	91.3	71
100	91.0	82
93	87.7	82
93	81.5	76
93	83.0	72
100	90.7	82
100	88.9	77
94	80.8	72
100	93.7	87
93	85.9	71
93	85.2	54
100	86.0	71
100	88.9	77
93	70.4	49
94	73.7	62
76	61.8	48
100	87.0	76
94	86.3	71
100	88.7	76
100	89.2	71
100	88.4	71
87	83.0	71
93	82.7	66
100	90.1	76
100	92.9	87
93	81.8	66
100	83.7	71
100	92.1	81
Max	Avg	Min
20	10.1	4
17	12.1	4
17	10.0	6
22	13.4	7
22	16.4	11
31	21.3	13
31	22.9	15
30	20.0	9
28	19.3	9
26	7.8	0
31	18.4	11
19	8.2	4
28	12.1	4
24	14.5	4
17	8.8	0
22	15.8	7
11	8.1	4
26	13.7	7
22	13.7	4
19	11.5	4
31	18.4	4
54	27.5	19
24	18.1	7
28	18.4	13
22	15.6	6
37	17.8	6
30	21.9	11
24	9.5	2
22	16.7	11
Max	Avg	Min
1024.3	1021.3	1019.3
1024.3	1023.0	1022.3
1022.3	1020.9	1020.3
1020.3	1019.2	1018.3
1018.3	1015.6	1012.4
1012.4	1008.6	1004.5
1003.5	997.2	992.6
992.6	986.7	977.8
977.8	975.0	973.8
976.8	974.0	972.9
990.6	982.1	976.8
1005.5	996.1	990.6
1008.4	1006.9	1005.5
1009.4	1008.1	1007.5
1007.5	1002.0	998.5
1015.4	1005.6	998.5
1023.3	1020.7	1015.4
1022.3	1019.1	1016.4
1021.3	1020.2	1019.3
1021.3	1019.2	1016.4
1015.4	1005.2	993.6
993.6	983.0	971.9
985.7	983.3	981.7
990.6	988.2	983.7
991.6	985.3	976.8
997.6	984.7	976.8
1009.4	1004.8	998.5
1012.4	1010.5	1008.4
1007.5	998.9	991.6
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
