Time	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Precipitation (mm)
Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
14	10.1	8
14	10.7	8
17	13.0	10
19	14.6	11
18	15.6	13
24	18.0	13
19	16.2	13
23	15.6	11
14	10.3	8
16	10.6	4
19	14.2	10
23	16.5	11
26	18.8	11
20	15.5	11
14	10.9	7
13	9.1	6
12	8.0	5
13	8.0	3
12	9.7	8
11	7.5	4
11	7.4	3
12	7.3	3
12	7.4	2
11	8.0	6
13	8.7	1
16	11.4	6
16	12.0	9
16	12.1	10
18	13.0	7
18	14.5	11
Max	Avg	Min
9	6.7	5
9	7.1	5
12	9.4	7
12	11.0	10
14	11.5	9
12	8.9	5
13	10.6	9
14	11.6	10
9	4.7	3
7	4.1	2
13	9.5	5
14	11.8	10
14	12.2	10
13	9.8	6
9	5.7	4
8	4.4	2
6	3.1	1
4	2.4	0
9	5.9	2
4	1.9	1
4	1.0	-1
3	0.7	-2
2	-1.1	-5
5	2.1	-1
3	0.7	-1
8	5.0	3
13	10.0	8
10	7.5	5
10	7.8	6
13	11.3	10
Max	Avg	Min
87	80.0	59
87	79.2	63
100	80.3	52
94	80.3	56
94	77.0	67
82	57.5	36
88	70.0	59
100	79.5	53
88	68.9	54
93	66.8	42
88	73.8	64
100	75.8	53
100	68.2	41
88	70.0	52
87	70.6	55
87	73.0	54
93	72.3	50
93	70.1	41
93	77.7	66
87	68.4	57
87	65.5	44
93	65.1	38
87	58.4	30
93	67.5	47
93	59.8	38
93	66.7	42
100	88.3	67
100	76.1	48
94	73.0	49
94	81.8	64
Max	Avg	Min
28	15.4	0
33	19.5	6
35	20.6	11
39	24.5	11
28	14.1	6
33	12.6	2
17	11.0	4
30	13.1	2
37	23.4	9
15	9.5	4
17	8.9	0
15	6.7	0
22	9.8	0
20	10.5	4
44	22.9	7
31	21.1	11
26	13.6	7
20	10.8	4
30	17.7	7
28	16.1	7
33	18.0	7
24	16.5	9
22	14.1	6
28	16.6	7
19	8.3	4
20	9.3	0
20	10.8	4
30	18.3	6
19	9.0	0
22	11.8	6
Max	Avg	Min
992.6	987.4	981.7
999.5	997.6	993.6
1000.5	996.0	993.6
1001.5	999.2	996.6
1001.5	999.5	996.6
1000.5	998.0	996.6
1005.5	1002.8	999.5
1001.5	995.9	990.6
1013.4	1004.1	995.6
1020.3	1017.7	1013.4
1022.3	1020.9	1019.3
1022.3	1020.5	1018.3
1018.3	1014.6	1011.4
1013.4	1011.3	1007.5
1008.4	1003.8	999.5
1003.5	1001.9	1001.5
1004.5	1003.5	1002.5
1011.4	1008.7	1004.5
1011.4	1007.5	1005.5
1015.4	1012.6	1009.4
1015.4	1012.8	1011.4
1014.4	1012.5	1010.4
1011.4	1009.0	1007.5
1007.5	1003.7	1001.5
1001.5	996.7	992.6
992.6	992.0	991.6
992.6	990.5	987.7
1005.5	997.1	989.6
1007.5	1006.4	1005.5
1006.5	1002.3	998.5
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
