Time	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Precipitation (mm)
Jul
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
21	18.2	15
22	17.5	15
21	16.8	13
22	18.4	15
26	19.4	12
22	18.1	15
23	16.6	10
26	19.2	11
26	21.3	17
26	21.9	19
24	20.7	15
20	16.7	14
24	17.2	11
23	18.2	11
27	21.0	12
24	19.5	16
27	20.5	14
30	23.3	15
33	25.9	17
32	26.3	19
26	22.0	19
25	20.0	14
25	20.4	18
26	19.9	14
29	23.1	17
23	20.7	19
19	18.1	17
25	19.0	11
31	23.7	16
36	27.8	20
31	26.0	21
Max	Avg	Min
15	12.0	9
14	11.8	9
13	10.6	9
15	11.2	8
13	10.5	8
15	9.6	5
10	7.4	5
12	10.8	9
18	14.7	12
17	14.7	12
15	13.5	12
15	13.2	12
13	11.3	6
14	11.7	10
18	13.7	10
15	12.6	11
14	12.0	10
15	13.2	12
18	15.2	13
18	15.7	14
19	17.3	14
16	13.3	12
19	15.6	11
15	12.9	11
15	13.9	12
19	18.0	16
19	16.9	15
15	13.0	10
17	14.7	13
22	18.9	16
23	20.6	18
Max	Avg	Min
88	68.2	49
82	69.7	56
88	68.4	46
94	65.5	41
77	57.6	41
94	59.8	33
76	56.0	35
94	60.6	39
88	66.2	51
88	65.5	44
82	64.0	50
94	80.5	60
100	71.0	33
94	68.6	44
94	64.8	45
88	66.1	44
88	60.9	34
88	55.9	33
83	54.5	29
73	53.3	38
94	75.8	54
88	66.0	50
94	75.2	53
94	66.1	44
83	58.4	35
100	84.9	65
100	93.3	83
100	70.7	47
82	58.6	37
83	60.1	39
94	73.1	55
Max	Avg	Min
24	14.2	7
24	13.7	7
26	14.1	7
26	18.9	9
24	12.9	4
31	18.7	7
22	10.9	2
13	6.9	0
26	8.3	0
24	14.2	4
19	8.9	2
22	14.2	4
22	8.6	0
11	5.1	0
31	10.4	0
33	19.6	6
11	6.1	2
13	5.8	0
13	5.2	0
19	10.5	4
26	13.0	4
24	14.5	6
26	17.2	11
11	6.7	4
20	9.7	0
13	5.7	0
13	7.6	4
22	11.6	2
17	11.3	2
13	5.1	0
24	8.0	2
Max	Avg	Min
1008.4	1006.1	1003.5
1008.4	1006.5	1004.5
1004.5	1001.6	999.5
1003.5	1000.7	998.5
1003.5	1000.6	995.6
1001.5	996.2	992.6
1004.5	1002.8	1001.5
1005.5	1004.0	1002.5
1002.5	1001.0	999.5
1006.5	1004.5	1002.5
1007.5	1005.7	1002.5
1004.5	1002.4	999.5
1004.5	1003.0	1001.5
1002.5	1002.0	1001.5
1001.5	998.2	995.6
1006.5	1002.8	999.5
1010.4	1009.1	1006.5
1009.4	1008.5	1007.5
1007.5	1005.1	1001.5
1002.5	998.0	993.6
1004.5	998.9	994.6
1008.4	1007.7	1005.5
1010.4	1008.5	1007.5
1011.4	1009.9	1007.5
1007.5	1003.3	999.5
1002.5	1001.2	1000.5
1008.4	1003.6	1001.5
1014.4	1012.2	1009.4
1011.4	1008.0	1004.5
1005.5	1003.4	1001.5
1003.5	1001.3	999.5
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

