Time	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Precipitation (mm)
Jan
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
8	5.5	3
8	4.9	3
5	0.3	-2
2	-1.2	-4
13	10.3	1
13	9.9	6
7	5.5	3
12	6.6	4
11	6.3	3
6	3.4	1
3	0.9	0
4	2.7	1
5	1.9	-2
5	-1.1	-5
7	3.5	-2
5	3.7	2
3	0.4	-1
2	0.5	-3
1	-0.5	-3
0	-1.2	-2
2	-0.6	-2
10	5.9	0
8	6.5	4
13	9.6	7
13	10.0	7
10	5.4	2
12	9.8	8
11	8.6	7
9	7.5	6
8	6.2	3
6	2.5	0
Max	Avg	Min
6	4.3	3
7	3.9	1
1	-1.5	-3
0	-2.7	-5
10	8.1	1
9	5.7	2
3	1.8	1
10	5.5	3
10	4.5	0
2	1.1	0
1	-0.4	-2
2	0.0	-2
1	-3.0	-5
-2	-4.2	-6
6	2.7	-4
4	2.1	1
1	-0.2	-1
0	-1.2	-3
-1	-1.7	-3
-1	-2.0	-3
1	-0.8	-2
9	5.2	0
6	4.0	2
9	5.9	3
9	7.3	6
7	3.3	1
10	6.4	4
7	5.3	3
7	5.9	4
7	4.7	1
2	1.1	0
Max	Avg	Min
100	92.0	87
100	93.3	87
100	88.3	65
100	90.8	70
100	87.0	72
88	75.5	66
87	77.3	66
100	92.7	81
100	88.6	70
100	85.4	70
100	91.3	75
93	83.2	65
93	71.2	53
100	81.0	57
100	94.5	86
100	89.5	81
100	96.1	87
100	89.2	81
100	91.4	81
100	94.7	87
100	98.2	93
100	95.2	87
100	84.7	76
88	77.7	72
100	84.2	67
93	86.5	76
94	79.9	67
87	80.2	71
100	89.4	76
100	90.2	81
100	91.0	66
Max	Avg	Min
33	24.1	13
33	12.2	6
13	6.7	2
20	9.1	0
31	22.0	6
50	27.5	19
31	20.3	7
35	12.9	0
31	16.8	4
15	7.0	4
17	10.0	4
17	9.8	0
20	12.3	7
11	4.6	0
13	7.0	2
19	10.0	4
15	7.1	0
15	9.9	0
11	4.6	0
9	6.2	2
7	4.3	0
22	6.7	0
28	17.9	7
37	24.7	15
26	13.9	2
28	20.2	7
37	26.3	17
33	26.9	20
33	17.9	11
24	11.5	0
19	9.3	4
Max	Avg	Min
1015.4	1009.4	1002.5
1011.4	1004.8	1000.5
1013.4	1012.6	1011.4
1013.4	1005.3	994.6
993.6	987.6	981.7
989.6	981.1	973.8
994.6	993.0	989.6
994.6	990.2	983.7
1007.5	993.7	982.7
1009.4	1007.7	1006.5
1023.3	1016.3	1010.4
1030.2	1026.9	1023.3
1030.2	1027.7	1026.2
1026.2	1024.3	1023.3
1023.3	1022.3	1021.3
1024.3	1022.3	1021.3
1024.3	1023.4	1022.3
1021.3	1017.1	1013.4
1013.4	1010.6	1008.4
1009.4	1007.4	1006.5
1006.5	1003.0	997.6
997.6	992.0	987.7
1000.5	997.8	990.6
999.5	994.8	991.6
996.6	992.9	990.6
1000.5	992.7	981.7
984.7	981.5	977.8
989.6	982.8	979.8
996.6	994.4	990.6
1015.4	1004.5	994.6
1017.3	1016.5	1015.4
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
