Time	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Precipitation (mm)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max	Avg	Min
7	3.0	-1
8	1.9	-3
6	0.7	-3
2	0.3	-1
6	3.9	1
5	3.6	2
7	4.0	2
7	5.9	4
7	5.3	4
6	5.0	3
6	4.4	3
5	4.0	2
6	4.6	2
5	2.0	-1
4	0.7	-3
6	2.4	-1
8	2.7	-1
9	3.5	0
11	5.8	0
14	10.4	7
16	13.3	10
14	11.1	6
15	9.5	4
14	10.9	9
10	8.7	6
10	6.8	3
9	6.3	3
9	6.4	4
Max	Avg	Min
2	0.3	-1
2	-0.7	-4
2	-0.4	-3
2	0.2	-1
6	3.3	1
3	1.3	-1
4	1.0	-1
6	2.3	0
4	3.6	3
5	3.7	2
3	1.8	0
2	1.1	0
3	1.2	-2
0	-2.4	-4
-2	-3.0	-5
0	-1.4	-2
-1	-1.7	-3
0	-1.3	-3
7	1.4	-2
12	8.6	6
9	8.5	7
10	7.7	6
8	6.2	4
10	7.8	6
9	7.4	4
7	4.8	2
5	2.9	1
3	2.3	1
Max	Avg	Min
100	83.8	57
100	84.2	62
100	92.9	70
100	99.3	93
100	95.8	87
100	85.2	70
93	81.0	70
93	78.5	61
100	89.3	81
100	91.2	81
93	83.7	70
93	82.1	70
93	79.3	61
87	74.3	57
93	77.0	61
93	77.1	61
93	74.2	53
87	71.8	54
87	74.0	58
100	88.8	77
94	73.8	59
100	80.3	63
100	81.1	55
100	81.8	63
100	91.8	87
100	88.0	66
93	79.7	57
87	76.0	62
Max	Avg	Min
15	8.5	0
7	4.0	0
11	5.1	0
15	9.9	7
15	7.2	0
26	18.6	7
26	18.4	7
24	15.0	4
17	8.3	2
19	11.0	0
19	8.2	2
13	8.6	4
15	8.2	0
19	13.1	6
19	10.3	2
20	13.3	6
15	10.3	7
22	12.9	6
13	7.2	0
19	10.3	2
17	10.9	6
28	11.3	2
22	10.1	0
26	15.9	6
35	16.3	4
26	16.0	9
26	13.2	6
22	12.0	4
Max	Avg	Min
1018.3	1016.6	1014.4
1014.4	1011.9	1010.4
1017.3	1015.6	1014.4
1020.3	1017.5	1016.4
1029.2	1026.0	1021.3
1029.2	1024.8	1018.3
1017.3	1008.2	1001.5
1010.4	1006.1	1001.5
1014.4	1013.0	1010.4
1013.4	1007.1	1002.5
1008.4	1007.1	1006.5
1007.5	1006.1	1005.5
1010.4	1008.8	1007.5
1014.4	1012.6	1011.4
1012.4	1009.0	1005.5
1007.5	1005.5	1004.5
1009.4	1008.1	1007.5
1008.4	1007.4	1005.5
1008.4	1006.5	1005.5
1011.4	1010.3	1008.4
1010.4	1005.7	1001.5
1014.4	1005.1	999.5
1017.3	1015.4	1013.4
1013.4	1008.3	1006.5
1006.5	1001.3	996.6
1010.4	1007.3	1003.5
1013.4	1008.4	1005.5
1015.4	1014.4	1013.4
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
