date,max,avg,min
2024-05-01,14,12.3,11
2024-05-02,11,9.5,8
2024-05-03,9,7.5,6
2024-05-04,10,7.7,5
2024-05-05,13,11.1,9
2024-05-06,13,9.4,7
2024-05-07,11,9.8,7
2024-05-08,10,8.0,7
2024-05-09,12,9.1,7
2024-05-10,11,9.8,9
2024-05-11,13,11.2,10
2024-05-12,17,13.2,10
2024-05-13,15,13.0,11
2024-05-14,15,13.5,12
2024-05-15,12,11.0,9
2024-05-16,11,9.7,6
2024-05-17,11,9.5,7
2024-05-18,13,11.3,9
2024-05-19,15,12.0,9
2024-05-20,14,11.6,9
2024-05-21,14,12.5,11
2024-05-22,14,11.5,10
2024-05-23,13,11.2,9
2024-05-24,13,11.0,9
2024-05-25,13,10.6,7
2024-05-26,14,11.7,9
2024-05-27,13,10.1,6
2024-05-28,14,11.2,6
2024-05-29,15,13.7,12
2024-05-30,14,11.2,9
2024-05-31,13,11.2,10
