date,max,avg,min
2024-06-01,100,89.9,82
2024-06-02,94,79.2,63
2024-06-03,94,70.2,49
2024-06-04,94,70.2,50
2024-06-05,82,66.3,49
2024-06-06,93,62.4,43
2024-06-07,87,56.1,40
2024-06-08,94,62.2,43
2024-06-09,94,62.6,39
2024-06-10,87,66.9,51
2024-06-11,93,71.6,45
2024-06-12,93,70.0,45
2024-06-13,93,61.2,40
2024-06-14,94,73.1,49
2024-06-15,88,67.5,48
2024-06-16,100,83.5,68
2024-06-17,94,81.3,53
2024-06-18,100,84.8,65
2024-06-19,94,79.0,64
2024-06-20,88,76.8,64
2024-06-21,94,80.6,50
2024-06-22,100,75.8,53
2024-06-23,94,64.0,41
2024-06-24,88,61.6,42
2024-06-25,78,56.7,40
2024-06-26,83,58.7,38
2024-06-27,94,63.5,46
2024-06-28,83,57.4,34
2024-06-29,88,65.1,52
2024-06-30,94,73.0,53
