date,max,avg,min
2024-03-01,11,7.4,5
2024-03-02,8,6.5,5
2024-03-03,10,6.3,4
2024-03-04,12,6.5,1
2024-03-05,11,7.4,5
2024-03-06,9,6.8,5
2024-03-07,13,7.6,2
2024-03-08,14,8.7,3
2024-03-09,14,8.6,5
2024-03-10,11,8.1,5
2024-03-11,13,8.4,5
2024-03-12,12,9.5,7
2024-03-13,14,11.3,10
2024-03-14,18,11.9,6
2024-03-15,17,13.5,12
2024-03-16,15,12.1,10
2024-03-17,15,12.0,10
2024-03-18,17,13.8,11
2024-03-19,18,12.4,7
2024-03-20,20,13.3,7
2024-03-21,21,14.5,9
2024-03-22,19,13.3,7
2024-03-23,11,7.7,5
2024-03-24,13,7.6,3
2024-03-25,13,8.3,2
2024-03-26,13,9.6,6
2024-03-27,13,8.5,6
2024-03-28,12,9.3,6
2024-03-29,15,11.1,8
2024-03-30,11,8.7,7
2024-03-31,9,9.0,9
