Time	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Precipitation (mm)
Jan
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
10	7.8	5
11	10.6	10
12	10.4	9
11	9.4	7
10	7.5	5
8	5.5	3
5	3.4	1
1	-1.0	-2
-1	-2.1	-3
1	-1.0	-2
3	-0.4	-2
3	1.4	-1
0	-1.7	-2
-1	-2.4	-4
6	0.8	-3
4	-1.9	-6
12	2.1	-1
4	0.8	-2
4	-1.1	-4
3	-1.1	-6
10	3.9	-2
14	10.8	8
13	9.2	7
15	13.4	12
13	11.3	10
12	9.4	2
8	2.9	-2
9	4.3	1
14	8.9	4
12	9.9	8
11	7.5	3
Max	Avg	Min
8	4.9	3
10	8.9	8
9	7.9	6
9	6.8	5
7	4.3	3
4	3.0	1
2	0.3	-2
-3	-5.7	-7
-3	-5.8	-8
-4	-5.1	-6
-4	-5.0	-6
0	-1.1	-6
-1	-2.3	-4
-2	-3.8	-5
1	-3.1	-7
-2	-5.0	-7
11	1.4	-4
0	-1.3	-4
-1	-3.0	-5
-3	-4.0	-7
8	1.0	-5
10	6.8	4
11	7.1	4
12	9.5	8
11	9.7	9
11	5.5	-1
1	-0.3	-3
4	1.9	-1
8	5.6	3
9	6.7	3
6	3.6	1
Max	Avg	Min
93	82.2	76
94	89.3	82
94	84.7	76
93	84.2	76
93	80.5	66
100	84.5	71
87	80.6	75
93	71.0	64
93	76.2	64
80	74.4	64
80	71.5	56
93	83.7	69
100	95.5	86
100	90.1	80
100	77.7	45
93	81.2	52
100	95.0	80
100	86.5	70
93	87.2	65
100	81.6	60
93	81.5	65
94	76.9	62
94	86.9	76
94	77.8	63
100	90.9	77
100	78.9	44
100	81.2	57
93	85.2	66
93	80.5	67
94	80.9	67
87	76.5	66
Max	Avg	Min
31	20.1	11
46	33.8	24
31	26.0	17
28	19.6	11
28	14.7	0
24	15.1	6
26	20.5	15
28	22.5	13
20	15.9	11
17	10.8	4
26	16.6	9
20	15.8	11
13	6.1	2
15	7.3	0
22	11.4	4
7	4.1	0
26	10.0	0
26	16.2	6
13	6.7	0
11	6.0	0
33	21.6	9
43	29.3	11
35	19.4	6
39	20.6	4
24	8.1	0
24	15.4	0
13	4.6	0
11	4.5	0
19	8.2	0
19	9.9	0
15	7.3	0
Max	Avg	Min
1000.5	997.6	992.6
992.6	987.4	982.7
992.6	988.4	986.7
997.6	994.5	989.6
996.6	992.5	989.6
1005.5	1001.0	996.6
1012.4	1008.8	1005.5
1015.4	1014.1	1012.4
1014.4	1013.7	1013.4
1015.4	1013.3	1012.4
1021.3	1018.5	1015.4
1021.3	1020.6	1019.3
1019.3	1014.7	1009.4
1009.4	1003.7	999.5
1001.5	999.1	996.6
1002.5	998.4	990.6
990.6	978.6	971.9
1004.5	989.9	978.8
1017.3	1011.3	1005.5
1019.3	1017.0	1013.4
1014.4	1011.9	1007.5
1014.4	1006.7	1002.5
1019.3	1016.7	1013.4
1020.3	1017.5	1013.4
1020.3	1018.4	1016.4
1024.3	1018.9	1014.4
1025.2	1023.0	1019.3
1019.3	1015.1	1013.4
1016.4	1015.3	1014.4
1023.3	1018.6	1015.4
1023.3	1022.1	1020.3
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
