Time	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Precipitation (mm)
Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
11	7.4	5
8	6.5	5
10	6.3	4
12	6.5	1
11	7.4	5
9	6.8	5
13	7.6	2
14	8.7	3
14	8.6	5
11	8.1	5
13	8.4	5
12	9.5	7
14	11.3	10
18	11.9	6
17	13.5	12
15	12.1	10
15	12.0	10
17	13.8	11
18	12.4	7
20	13.3	7
21	14.5	9
19	13.3	7
11	7.7	5
13	7.6	3
13	8.3	2
13	9.6	6
13	8.5	6
12	9.3	6
15	11.1	8
11	8.7	7
9	9.0	9
Max	Avg	Min
8	4.9	3
7	5.3	3
5	3.9	2
4	1.7	0
6	3.9	1
5	4.3	3
6	3.3	1
5	3.2	1
8	4.9	3
7	5.8	3
7	5.3	4
10	7.8	5
11	9.0	8
10	7.8	5
11	10.0	8
9	7.3	5
12	10.2	8
12	9.8	8
10	8.0	6
11	7.6	5
10	8.0	6
10	8.0	6
8	3.9	2
4	2.3	1
5	2.2	1
10	7.2	3
6	4.5	3
6	4.0	3
9	7.3	4
7	6.5	6
7	7.0	7
Max	Avg	Min
93	84.6	71
100	91.9	87
100	85.3	62
100	73.6	50
93	79.3	50
93	84.5	66
100	76.2	54
87	69.4	54
100	78.7	54
100	86.2	67
93	81.5	58
100	89.0	81
100	86.0	67
100	77.7	49
88	79.4	63
88	73.7	55
100	89.1	82
100	78.0	59
100	76.5	52
100	71.6	43
93	67.0	38
100	72.1	46
93	77.9	54
93	71.1	47
93	68.0	44
100	85.5	66
93	77.0	54
93	70.3	54
94	78.7	55
93	86.4	71
87	87.0	87
Max	Avg	Min
33	20.7	11
20	12.9	4
19	9.2	4
19	8.2	0
22	15.1	7
11	7.6	4
28	12.4	2
26	16.6	6
20	11.7	2
15	7.8	4
31	14.6	2
19	13.9	7
19	9.8	4
22	8.3	0
30	18.9	7
24	13.3	4
17	8.2	2
19	8.7	0
11	6.0	2
7	4.2	0
13	7.0	2
26	11.4	0
35	21.3	11
33	18.2	6
30	12.6	0
28	12.3	4
30	17.8	7
46	26.8	15
28	15.4	4
19	10.3	4
11	9.0	7
Max	Avg	Min
995.6	990.5	985.7
987.7	985.6	982.7
998.5	991.0	985.7
1001.5	1000.4	998.5
1005.5	1002.4	999.5
1011.4	1009.1	1005.5
1011.4	1005.8	1000.5
999.5	992.5	987.7
988.7	983.4	980.8
988.7	983.5	979.8
1002.5	995.2	988.7
1007.5	1005.5	1002.5
1007.5	1006.3	1004.5
1004.5	1000.9	998.5
1003.5	1000.8	999.5
1011.4	1009.4	1003.5
1011.4	1007.7	1004.5
1007.5	1005.6	1003.5
1007.5	1006.4	1005.5
1009.4	1006.2	1005.5
1015.4	1012.9	1009.4
1013.4	1007.9	1003.5
1007.5	1004.5	1002.5
1002.5	1001.6	1000.5
1000.5	990.9	981.7
981.7	977.6	972.9
976.8	975.5	971.9
980.8	976.4	969.9
985.7	982.1	978.8
986.7	985.2	982.7
983.7	983.7	983.7
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
