Time	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Precipitation (mm)
Jun
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
14	13.3	13
17	14.1	12
22	15.6	8
24	18.6	11
21	17.7	14
22	16.1	8
22	16.4	8
23	17.0	9
22	16.0	9
18	14.0	10
19	12.5	6
18	13.0	6
21	15.7	8
22	16.8	13
18	15.0	11
19	15.4	13
24	18.2	14
24	19.3	15
21	18.3	16
23	19.1	16
23	19.1	17
21	17.3	13
25	18.2	11
28	21.8	15
30	24.3	18
31	25.5	19
31	24.7	18
25	19.7	15
24	18.8	15
24	19.0	15
Max	Avg	Min
13	11.6	10
11	10.4	9
13	9.8	7
15	12.7	10
13	11.3	8
10	8.4	6
9	7.2	5
12	9.3	7
12	8.2	3
13	7.8	5
9	7.2	5
9	7.2	5
10	7.4	6
14	11.5	8
11	8.8	6
15	12.5	10
17	14.7	13
18	16.4	14
16	14.5	14
17	14.9	13
17	15.5	12
16	12.6	10
12	10.7	9
15	13.5	12
16	14.8	14
18	16.4	15
21	17.1	11
15	10.6	8
14	12.0	9
15	13.8	13
Max	Avg	Min
100	89.9	82
94	79.2	63
94	70.2	49
94	70.2	50
82	66.3	49
93	62.4	43
87	56.1	40
94	62.2	43
94	62.6	39
87	66.9	51
93	71.6	45
93	70.0	45
93	61.2	40
94	73.1	49
88	67.5	48
100	83.5	68
94	81.3	53
100	84.8	65
94	79.0	64
88	76.8	64
94	80.6	50
100	75.8	53
94	64.0	41
88	61.6	42
78	56.7	40
83	58.7	38
94	63.5	46
83	57.4	34
88	65.1	52
94	73.0	53
Max	Avg	Min
22	17.6	13
24	19.0	7
15	9.3	2
24	10.1	0
22	13.3	6
19	10.1	0
15	8.4	0
22	10.7	0
22	13.6	4
30	16.9	7
22	8.8	0
19	7.0	0
22	11.2	0
30	18.0	7
31	23.7	13
28	16.4	2
15	8.9	0
20	10.3	0
30	17.4	9
22	11.3	0
17	9.0	2
28	16.1	6
13	5.9	0
17	10.3	0
19	11.7	6
17	8.6	2
30	13.4	0
19	10.9	2
30	17.4	7
20	12.5	2
Max	Avg	Min
1011.4	1008.6	1005.5
1012.4	1011.7	1011.4
1012.4	1009.5	1006.5
1006.5	1002.9	999.5
1005.5	1002.8	1001.5
1007.5	1006.0	1005.5
1009.4	1008.1	1005.5
1006.5	1002.8	1000.5
1002.5	1000.7	998.5
1004.5	1000.5	998.5
1008.4	1006.0	1004.5
1009.4	1009.0	1007.5
1008.4	1005.3	1000.5
1000.5	996.0	992.6
997.6	996.3	993.6
997.6	996.5	994.6
1001.5	1000.1	997.6
1001.5	1000.3	998.5
1006.5	1004.3	1001.5
1007.5	1004.8	1002.5
1004.5	1003.1	1001.5
1007.5	1003.9	1002.5
1009.4	1008.5	1007.5
1009.4	1006.8	1003.5
1004.5	1001.7	999.5
1000.5	999.0	997.6
1002.5	999.3	998.5
1007.5	1005.7	1002.5
1005.5	1001.0	995.6
1003.5	1000.9	997.6
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

