Time	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Precipitation (mm)
Oct
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
19	14.3	12
15	13.3	12
14	12.1	10
17	11.0	7
17	11.2	5
17	12.9	10
17	15.7	14
19	15.5	13
17	14.5	12
17	13.6	11
16	11.1	8
16	11.8	8
16	13.2	10
21	14.5	10
19	15.3	11
26	19.8	15
19	17.0	15
15	13.8	13
16	13.5	11
19	15.6	12
21	17.6	14
18	13.1	9
18	11.6	6
19	12.3	7
20	14.8	12
20	15.3	14
17	14.6	11
17	13.4	11
12	11.3	10
13	12.0	11
12	10.6	9
Max	Avg	Min
11	10.0	8
13	10.6	9
11	8.4	6
8	6.5	5
9	6.8	5
16	11.6	7
16	14.8	13
15	13.2	12
16	13.7	11
13	11.4	9
10	6.8	4
14	9.4	6
13	8.1	5
15	11.4	7
16	13.8	10
18	15.4	14
17	15.9	14
14	12.5	12
14	12.0	10
15	13.4	12
16	14.8	12
13	10.4	8
11	8.1	6
13	9.6	6
15	13.0	11
16	14.2	13
14	13.2	11
14	12.5	10
11	10.4	10
11	10.7	10
11	9.8	9
Max	Avg	Min
94	76.7	52
94	84.0	72
94	78.9	63
93	75.0	52
100	77.0	45
100	91.8	82
100	94.5	82
100	87.1	64
100	95.1	88
94	87.5	68
100	76.9	45
94	85.4	72
94	72.4	51
94	81.8	68
100	91.4	78
94	77.6	54
100	93.7	83
100	92.1	82
100	91.2	77
100	87.4	77
94	84.2	68
100	85.0	59
100	81.3	52
94	84.1	64
100	89.7	64
100	93.5	78
100	91.6	77
100	94.5	77
100	94.5	88
100	92.0	82
100	95.5	88
Max	Avg	Min
20	14.0	7
22	15.4	7
22	17.7	13
17	10.2	4
26	8.9	0
17	10.9	6
17	9.9	4
30	16.0	7
30	16.5	6
26	15.7	7
15	7.6	0
13	7.1	0
19	9.2	4
20	8.0	0
26	10.0	0
28	11.9	0
22	10.8	4
22	12.0	4
22	13.0	6
24	14.8	4
26	10.8	4
17	7.9	2
17	7.1	0
13	6.1	0
20	7.1	0
11	6.0	0
15	8.1	0
11	6.1	2
9	5.7	0
19	9.6	0
13	8.6	6
Max	Avg	Min
1001.5	999.6	996.6
1000.5	997.9	995.6
1007.5	1004.5	1001.5
1009.4	1008.1	1007.5
1008.4	1004.6	998.5
998.5	993.1	990.6
992.6	989.9	985.7
989.6	988.1	987.7
986.7	977.9	969.9
1000.5	990.9	978.8
1006.5	1004.3	1000.5
1003.5	999.0	995.6
1009.4	1006.1	1000.5
1006.5	1004.3	1002.5
1006.5	1002.3	996.6
996.6	994.2	992.6
1001.5	998.9	994.6
1004.5	1003.1	1001.5
1006.5	1004.3	1003.5
1009.4	1007.5	1006.5
1011.4	1009.9	1007.5
1022.3	1018.2	1011.4
1022.3	1020.6	1016.4
1016.4	1010.6	1005.5
1005.5	1004.5	1003.5
1005.5	1003.4	1001.5
1014.4	1010.0	1004.5
1015.4	1014.3	1013.4
1016.4	1015.2	1014.4
1016.4	1015.6	1015.4
1016.4	1015.1	1014.4
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00

