Time	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Precipitation (mm)
Nov
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
11	9.5	8
12	10.7	9
11	9.5	9
16	9.5	5
12	9.6	7
12	10.4	9
12	10.3	8
10	8.6	7
11	9.8	9
12	10.2	7
13	9.3	5
10	9.1	7
9	8.2	6
13	9.2	5
11	9.6	8
10	7.5	4
9	6.3	4
11	9.1	6
12	10.5	7
8	4.3	1
2	0.3	0
5	1.7	-2
11	5.0	1
17	14.6	11
18	12.3	9
10	8.5	7
14	10.8	8
10	7.1	2
8	3.7	0
8	2.0	-1
Max	Avg	Min
10	8.8	8
9	8.6	8
8	7.1	7
10	7.5	5
11	8.9	7
10	8.3	7
11	9.3	7
9	8.0	7
10	9.5	9
10	8.8	6
11	7.0	4
8	6.5	5
6	4.7	3
9	6.3	3
9	5.5	3
4	2.9	2
7	5.0	2
10	7.9	6
11	8.8	4
3	0.9	-1
0	-0.2	-1
1	0.1	-3
5	1.4	0
10	7.0	4
12	8.5	7
8	7.3	7
12	9.1	6
6	3.4	1
3	1.6	0
3	0.6	-1
Max	Avg	Min
100	95.8	87
94	87.0	77
93	85.1	76
100	88.0	68
100	95.8	88
94	87.3	82
100	93.9	87
100	96.0	87
100	98.1	94
100	91.3	82
100	86.3	72
93	83.9	71
87	79.2	71
94	82.6	67
94	76.2	62
93	73.2	62
93	91.1	87
100	92.8	87
94	89.3	81
93	80.4	53
100	96.7	87
100	89.4	76
100	79.3	62
63	60.3	55
94	79.6	52
100	91.8	82
100	89.3	77
93	78.1	62
100	86.8	66
100	91.2	66
Max	Avg	Min
13	6.2	2
20	14.0	7
19	11.5	4
13	6.9	0
9	4.8	0
15	10.1	6
17	10.9	4
13	8.1	2
7	5.0	0
17	9.4	2
22	9.7	4
28	19.7	9
20	15.6	6
15	7.0	0
13	7.4	0
13	6.2	0
19	12.3	7
26	18.0	4
37	26.3	15
28	15.1	9
35	16.4	4
30	17.4	6
24	14.8	0
30	21.2	15
28	13.4	6
20	10.8	2
30	18.4	7
15	8.7	0
19	7.1	0
11	5.3	0
Max	Avg	Min
1015.4	1013.8	1013.4
1017.3	1016.0	1015.4
1016.4	1015.7	1014.4
1014.4	1012.4	1010.4
1014.4	1011.5	1010.4
1019.3	1017.6	1014.4
1019.3	1017.3	1016.4
1016.4	1012.9	1011.4
1013.4	1011.9	1010.4
1019.3	1015.7	1013.4
1021.3	1020.1	1019.3
1020.3	1016.8	1015.4
1020.3	1019.5	1018.3
1020.3	1018.0	1016.4
1017.3	1015.3	1013.4
1012.4	1009.8	1007.5
1007.5	1006.1	1005.5
1005.5	1001.8	997.6
997.6	989.9	985.7
1000.5	997.6	989.6
1000.5	989.2	977.8
1008.4	1000.3	991.6
1008.4	1004.1	999.5
999.5	998.0	994.6
1003.5	995.7	990.6
1009.4	1007.8	1003.5
1009.4	1005.7	1003.5
1018.3	1015.1	1009.4
1018.3	1016.8	1014.4
1017.3	1015.6	1014.4
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
